"","Address","Zip","Price","Area","Room","Lon","Lat"
"1","Blasiusstraat 8 2, Amsterdam","1091 CR",685000,64,3,4.907736,52.356157
"2","Kromme Leimuidenstraat 13 H, Amsterdam","1059 EL",475000,60,3,4.850476,52.348586
"3","Zaaiersweg 11 A, Amsterdam","1097 SM",850000,109,4,4.944774,52.343782
"4","Tenerifestraat 40, Amsterdam","1060 TH",580000,128,6,4.789928,52.343712
"5","Winterjanpad 21, Amsterdam","1036 KN",720000,138,5,4.902503,52.410538
"6","De Wittenkade 134 I, Amsterdam","1051 AM",450000,53,2,4.875024,52.382228
"7","Pruimenstraat 18 B, Amsterdam","1033 KM",450000,87,3,4.896536,52.410585
"8","Da Costakade 32 II, Amsterdam","1053 WL",590000,80,2,4.871555,52.371041
"9","Postjeskade 41 2, Amsterdam","1058 DG",399000,49,3,4.854671,52.363471
"10","Van Ostadestraat 193 H, Amsterdam","1073 TM",3e+05,33,2,4.897142,52.353111
"11","Sloterkade 152 1, Amsterdam","1058 HN",540000,69,3,4.851985,52.351244
"12","KNSM-laan 609, Amsterdam","1019 LD",539000,88,3,4.942972,52.377442
"13","Blasiusstraat 17 II, Amsterdam","1091 CK",390000,45,3,4.908173,52.356446
"14","Amstel 124 B, Amsterdam","1017 AD",575000,70,2,4.897782,52.366928
"15","Blasiusstraat 50 II, Amsterdam","1091 CT",650000,86,3,4.909361,52.356532
"16","Suikerpeerpad 39, Amsterdam","1036 KE",475000,105,5,4.900926,52.408311
"17","Paramaribostraat 122 3, Amsterdam","1058 VP",7e+05,102,6,4.85452,52.36209
"18","Burgemeester Hogguerstraat 273, Amsterdam","1064 CP",325000,78,3,4.829644,52.372068
"19","Anna Blamansingel 274 VII, Amsterdam","1102 SX",399000,100,3,4.949572,52.317294
"20","Oostzaanstraat 271, Amsterdam","1013 WJ",375000,52,3,4.872555,52.392426
"21","Keizersgracht 171 F, Amsterdam","1016 DP",1625000,199,6,4.88583,52.374742
"22","Cornelis Troostplein 2 2, Amsterdam","1072 JK",575000,71,3,4.891161,52.351082
"23","Thorn Prikkerstraat 93, Amsterdam","1062 BS",6e+05,114,4,4.837666,52.362011
"24","Kramatweg 58 A, Amsterdam","1095 JX",525000,75,3,4.945438,52.361355
"25","Bramzeilhof 56, Amsterdam","1034 LH",350000,110,5,4.921574,52.408269
"26","Bruinvisstraat 36, Amsterdam","1035 HG",350000,89,3,4.88516,52.423543
"27","Arent Janszoon Ernststraat 41, Amsterdam","1083 GP",575000,134,5,4.887858,52.332103
"28","Willem de Zwijgerlaan 115 II, Amsterdam","1056 JJ",375000,51,3,4.862875,52.373735
"29","Colenbranderhof 30, Amsterdam","1065 BG",1650000,235,7,4.820848,52.358631
"30","Dusartstraat 33 2, Amsterdam","1072 HN",325000,37,2,4.889539,52.351732
"31","Churchill-laan 37 A, Amsterdam","1078 DE",8e+05,98,3,4.900342,52.346366
"32","Prinseneiland 545, Amsterdam","1013 EC",1950000,258,4,4.887444,52.385346
"33","Van Tuyll van Serooskerkenweg 86 H, Amsterdam","1076 JP",735000,83,3,4.86109,52.344643
"34","Vondelstraat 51 hs, Amsterdam","1054 GJ",3925000,319,7,4.875471,52.361571
"35","Kinkerstraat 215 D, Amsterdam","1053 DS",475000,74,3,4.865792,52.365372
"36","Oldengaarde 116, Amsterdam","1083 TL",275000,31,2,4.883566,52.330963
"37","Rustenburgerstraat 154 2, Amsterdam","1073 GJ",375000,47,2,4.899509,52.352717
"38","J.J. Cremerplein 24 II, Amsterdam","1054 TL",570000,63,3,4.85856,52.359929
"39","Oostenburgergracht 41 A, Amsterdam","1018 NB",375000,43,2,4.921855,52.368922
"40","C.J.K. van Aalststraat 94 PP, Amsterdam","1019 JX",895000,163,6,4.93704,52.373016
"41","John Franklinstraat 38 3, Amsterdam","1056 TD",365000,49,3,4.854277,52.371899
"42","Potgieterstraat 23 IV, Amsterdam","1053 XP",550000,62,3,4.874257,52.369627
"43","Wamelstraat 76, Amsterdam","1106 DM",325000,91,4,4.987296,52.300656
"44","Nieuwe Prinsengracht 48 G, Amsterdam","1018 VS",429000,50,3,4.907585,52.363609
"45","Commelinstraat 9 H, Amsterdam","1093 TE",650000,120,4,4.924306,52.36344
"46","Orteliusstraat 309 I, Amsterdam","1056 NZ",350000,55,3,4.847389,52.373198
"47","Tweede Ceramstraat 10, Amsterdam","1095 BN",475000,79,3,4.942841,52.362693
"48","1e Kekerstraat 77 PP, Amsterdam","1104 VA",325000,99,3,4.981149,52.314
"49","Rietveld Schröderpad 15, Amsterdam","1064 WX",425000,82,3,4.83186,52.364372
"50","Beemsterstraat 98, Amsterdam","1024 BG",350000,77,4,4.948371,52.392858
"51","Postjesweg 341, Amsterdam","1062 JS",350000,81,3,4.837764,52.363887
"52","Eastonstraat 86, Amsterdam","1068 JC",375000,93,4,4.815101,52.356914
"53","Adrichemstraat 15, Amsterdam","1013 DR",450000,73,3,4.877698,52.388468
"54","Vijzelstraat 91, Amsterdam","1017 HH",1185000,160,5,4.892374,52.363383
"55","IJdoornlaan 1449 F, Amsterdam","1034 BM",385000,74,3,4.91913,52.406915
"56","Amstelveenseweg 184 III, Amsterdam","1075 XR",687500,86,4,4.855875,52.352448
"57","Zuideinde 387 D, Amsterdam","1035 PE",585000,52,4,4.891858,52.42145
"58","Amstel 13, Amsterdam","1011 PT",1295000,145,5,4.89952,52.367261
"59","Egidiusstraat 42 3, Amsterdam","1055 GW",375000,61,3,4.851777,52.379483
"60","Zeeburgerdijk 578, Amsterdam","1095 AN",5e+05,86,4,4.944196,52.366168
"61","Groetstraat 201, Amsterdam","1024 VE",3e+05,78,4,4.951093,52.393956
"62","Jan Haringstraat 32 I, Amsterdam","1056 XJ",375000,52,4,4.86106,52.376873
"63","Crynssenstraat 74 2, Amsterdam","1058 XZ",4e+05,51,2,4.85633,52.36355
"64","Churchill-laan 254 3, Amsterdam","1078 EZ",850000,117,5,4.889851,52.347518
"65","Overtoom 502 I, Amsterdam","1054 KJ",550000,72,3,4.859628,52.359026
"66","Wieringerwaardstraat 226, Amsterdam","1024 HM",275000,56,2,4.959199,52.395846
"67","Wiltzanghlaan 31 I, Amsterdam","1055 KE",330000,54,3,4.848563,52.381715
"68","Faas Wilkesstraat 321 PP, Amsterdam","1095 MD",7e+05,102,3,4.969203,52.372762
"69","Fahrenheitsingel 17, Amsterdam","1097 NR",5e+05,72,2,4.922788,52.342942
"70","Bankastraat 39 D, Amsterdam","1094 EB",369000,47,3,4.933378,52.364949
"71","Toutenburgstraat 75, Amsterdam","1107 PW",245000,68,3,4.9688878,52.2923239
"72","Vegastraat 97, Amsterdam","1033 HR",350000,65,4,4.885364,52.412066
"73","Hofwijckstraat 22 III, Amsterdam","1055 GG",425000,69,3,4.850643,52.379711
"74","Falckstraat 47 A, Amsterdam","1017 VV",NA,147,3,4.897454,52.360707
"75","Sam van Houtenstraat 191 C, Amsterdam","1067 JG",375000,94,4,4.800745,52.379133
"76","Het Hoogt 180, Amsterdam","1025 HE",335000,92,4,4.936896,52.394478
"77","Van Hilligaertstraat 32 C, Amsterdam","1072 KA",450000,56,3,4.888332,52.349498
"78","Wethouder Wierdelsstraat 6, Amsterdam","1107 DK",395000,101,5,4.993551,52.292948
"79","Van Houweningenstraat 66 2, Amsterdam","1052 TR",3e+05,45,2,4.87065,52.37314
"80","Ternatestraat 174, Amsterdam","1095 RZ",450000,84,3,4.944032,52.365457
"81","Hudsonstraat 55 hs, Amsterdam","1057 RX",415000,51,2,4.853803,52.366082
"82","Maarten Jansz. Kosterstraat 10, Amsterdam","1017 VX",650000,67,4,4.901713,52.360545
"83","Spaarndammerplantsoen 20, Amsterdam","1013 XT",425000,52,2,4.876149,52.390376
"84","Driehoekstraat 72, Amsterdam","1015 GL",469000,67,2,4.882743,52.382746
"85","Admiraliteitstraat 48, Amsterdam","1018 KP",485000,73,4,4.924634,52.368555
"86","Willem de Zwijgerlaan 334 E15, Amsterdam","1055 RD",225000,32,1,4.860857,52.380834
"87","De Wittenkade 23 2V, Amsterdam","1052 AA",285000,29,2,4.880046,52.384661
"88","Keizersgracht 343 F, Amsterdam","1016 EH",995000,97,2,4.884982,52.369202
"89","Geschutswerf 81, Amsterdam","1018 AW",1475000,220,5,4.920481,52.366984
"90","Bilderdijkkade 22 IV, Amsterdam","1053 VC",475000,60,3,4.868057,52.370073
"91","Jan Mankesstraat 13 hs, Amsterdam","1061 SR",475000,124,5,4.837522,52.364821
