"","Address","Zip","Price","Area","Room","Lon","Lat"
"92","Sassenheimstraat 30 1, Amsterdam","1059 BH",395000,56,2,4.848779,52.348138
"93","Oudezijds Voorburgwal 161 E, Amsterdam","1012 ET",375000,47,2,4.896579,52.372127
"94","Amstelveenseweg 186 4A, Amsterdam","1075 XR",4e+05,37,2,4.855832,52.352385
"95","Nova Zemblastraat 544, Amsterdam","1013 RP",325000,42,2,4.879081,52.390874
"96","Achillesstraat 113 2, Amsterdam","1076 RA",4e+05,53,3,4.864958,52.343986
"97","Parnassusweg 151, Amsterdam","1077 DE",475000,80,3,4.868693,52.343328
"98","Lamarckhof 11 I, Amsterdam","1098 TK",425000,68,3,4.944251,52.352317
"99","Cornelis van Vollenhovenstraat 4 B, Amsterdam","1063 KS",375000,101,3,4.819711,52.379837
"100","Van Boetzelaerstraat 73 II, Amsterdam","1051 EA",365000,47,2,4.871178,52.382031
"101","Pretoriusstraat 11 II, Amsterdam","1092 EW",5e+05,67,3,4.926673,52.356043
"102","Wittgensteinlaan 137, Amsterdam","1062 KC",450000,92,3,4.835487,52.353658
"103","Prinsengracht 201 E, Amsterdam","1015 DT",725000,95,3,4.886006,52.377377
"104","Westeinde 16, Amsterdam","1017 ZP",4550000,497,13,4.89862,52.358798
"105","Groenhoven 453, Amsterdam","1103 LN",225000,52,2,4.976804,52.325544
"106","Reinier Claeszenstraat 74 3, Amsterdam","1056 WR",375000,55,3,4.862201,52.373597
"107","Waterkeringweg 49, Amsterdam","1051 NX",495000,74,3,4.867549,52.384604
"108","Lange Leidsedwarsstraat 95 C, Amsterdam","1017 NH",475000,58,3,4.885902,52.363158
"109","Lange Leidsedwarsstraat 32 B, Amsterdam","1017 NL",450000,53,2,4.882472,52.365273
"110","Vrijheidslaan 14 I, Amsterdam","1078 PJ",475000,66,3,4.910224,52.347296
"111","Heemstedestraat 10 I, Amsterdam","1058 NM",475000,62,3,4.848941,52.351734
"112","Veldzicht 85, Amsterdam","1068 SM",345000,61,3,4.798199,52.362969
"113","Rijswijkstraat 69, Amsterdam","1062 ER",369000,78,3,4.841525,52.35007
"114","Steenderenstraat 74, Amsterdam","1107 LD",320000,91,4,4.983191,52.294198
"115","Sijsjesstraat 12, Amsterdam","1021 CW",465000,66,3,4.917899,52.386198
"116","Oudezijds Voorburgwal 93 B, Amsterdam","1012 EL",340000,35,2,4.898311,52.373509
"117","Mijehof 285, Amsterdam","1106 HH",375000,111,5,4.970987,52.301346
"118","Blasiusstraat 63 2, Amsterdam","1091 CL",595000,93,3,4.910003,52.356903
"119","Dirk Vreekenstraat 72, Amsterdam","1019 GD",525000,92,3,4.936101,52.371484
"120","Langswater 278, Amsterdam","1069 EC",245000,61,3,4.789682,52.355404
"121","Jisperveldstraat 371, Amsterdam","1024 AS",275000,85,4,4.95037,52.399252
"122","Funenpark 316, Amsterdam","1018 AK",575000,72,2,4.931839,52.369014
"123","Tielstraat 53, Amsterdam","1107 RA",250000,70,3,4.968806,52.291803
"124","Panamakade 66, Amsterdam","1019 AX",975000,165,5,4.946186,52.373257
"125","Van Oldenbarneveldtstraat 22 II, Amsterdam","1052 KB",375000,52,2,4.875248,52.376809
"126","Amstelvlietstraat 193, Amsterdam","1096 GG",1100000,159,5,4.919919,52.338283
"127","Haparandaweg 750, Amsterdam","1013 BD",750000,102,3,4.877406,52.394832
"128","Prins Hendrikkade 510 K, Amsterdam","1011 TE",439000,55,3,4.90487,52.374978
"129","Afrikanerplein 118, Amsterdam","1091 PW",375000,57,2,4.91638,52.352165
"130","Anne Frankstraat 224, Amsterdam","1011 MP",445000,66,3,4.909207,52.369475
"131","Alkmaarstraat 277, Amsterdam","1024 TR",325000,77,4,4.947655,52.395417
"132","Geuzenkade 46 H, Amsterdam","1056 KM",415000,57,2,4.865612,52.373199
"133","Borgerstraat 29 D, Amsterdam","1053 PA",3e+05,43,2,4.868786,52.365466
"134","Prinsenstraat 4, Amsterdam","1015 DC",915000,88,5,4.887412,52.377742
"135","Schotse Hooglanden 4, Amsterdam","1060 NM",685000,183,6,4.7717,52.35337
"136","Van Spilbergenstraat 69 II, Amsterdam","1057 PZ",350000,50,3,4.85167,52.366405
"137","Cliostraat 23 HS, Amsterdam","1077 KB",1025000,135,4,4.875881,52.347368
"138","Windroosplein 96, Amsterdam","1018 ZW",895000,177,4,4.924895,52.373122
"139","Nachtwachtlaan 345, Amsterdam","1058 EM",350000,59,2,4.84399,52.362946
"140","Antony Moddermanstraat 178, Amsterdam","1063 LW",265000,65,3,4.81787,52.383684
"141","Wevelgemstraat 8, Amsterdam","1066 TM",5e+05,100,4,4.802122,52.346011
"142","Reigersbos 251, Amsterdam","1107 EX",295000,106,4,4.977496,52.295032
"143","Rubensstraat 26 2, Amsterdam","1077 MR",1175000,159,7,4.873365,52.349164
"144","Herengracht 193 C, Amsterdam","1016 BE",995000,113,3,4.888199,52.374321
"145","Jozef Israëlskade 30 B, Amsterdam","1072 RW",385000,54,2,4.889927,52.348587
"146","Tollensstraat 321, Amsterdam","1053 RV",550000,89,4,4.870523,52.365141
"147","Kinkerstraat 326 1, Amsterdam","1053 GD",325000,40,2,4.862992,52.365
"148","Hogevecht 47, Amsterdam","1102 HB",225000,62,2,4.957403,52.309773
"149","Van Boshuizenstraat 135, Amsterdam","1083 AT",395000,66,3,4.885793,52.324797
"150","J.G. Suurhoffstraat 123, Amsterdam","1067 VR",425000,102,4,4.789341,52.380775
"151","Lijnbaansgracht 188 H, Amsterdam","1016 XA",525000,64,4,4.878779,52.368556
"152","Ank van der Moerstraat 29, Amsterdam","1065 LH",8e+05,132,6,4.824867,52.35227
"153","Osdorpplein 57, Amsterdam","1068 EK",4e+05,88,4,4.80651,52.359451
"154","Wieringerwaardstraat 221, Amsterdam","1024 HL",250000,50,2,4.959052,52.3958
"155","Van Boetzelaerstraat 40 H, Amsterdam","1051 CW",360000,41,2,4.873624,52.382635
"156","Faas Wilkesstraat 275, Amsterdam","1095 MD",1050000,154,4,4.968819,52.373001
"157","IJsselmeerstraat 52, Amsterdam","1024 ML",799000,230,8,4.961381,52.389087
"158","Utrechtsedwarsstraat 4, Amsterdam","1017 WG",1700000,194,6,4.896542,52.360937
"159","Neerkanne 7, Amsterdam","1082 BG",825000,178,7,4.870427,52.324201
"160","Dirk Bonsstraat 18 I, Amsterdam","1063 TZ",290000,50,2,4.834901,52.378363
"161","Singel 32 G, Amsterdam","1015 AA",469000,50,3,4.893043,52.37844
"162","Amstel 186 HS, Amsterdam","1017 AG",625000,74,3,4.89965,52.366621
"163","Nieuwe Prinsengracht 8 3, Amsterdam","1018 XH",1050000,149,8,4.904917,52.362949
"164","Plejadenplein 1, Amsterdam","1033 VK",540000,79,4,4.88439,52.413734
"165","Kikkenstein 3534, Amsterdam","1104 TT",285000,96,4,4.972596,52.317512
"166","Quashibastraat 42 C, Amsterdam","1087 VS",859000,168,3,5.016505,52.350556
"167","Het Breed 605, Amsterdam","1025 HW",275000,63,2,4.93924,52.396536
"168","Tjeukemeerhof 14, Amsterdam","1060 PR",525000,153,6,4.778978,52.349265
"169","Van Mourik Broekmanstraat 12 I, Amsterdam","1065 EX",375000,73,4,4.826759,52.356709
"170","Vrijzicht 180, Amsterdam","1068 CK",399500,89,2,4.807068,52.362692
"171","Oeverpad 482, Amsterdam","1068 PM",430000,103,4,4.807703,52.363646
"172","Ouderkerkerdijk 34, Amsterdam","1096 CR",1300000,141,4,4.904363,52.333206
"173","Leonard Bernsteinstraat 96 A, Amsterdam","1082 MR",1750000,130,3,4.872151,52.336348
"174","Westerstraat 268, Amsterdam","1015 MT",950000,109,4,4.879612,52.377871
"175","Nieuwezijds Voorburgwal 294 1, Amsterdam","1012 RT",1450000,150,3,4.88987,52.370706
"176","Kleiburg 524, Amsterdam","1104 EA",285000,69,3,4.979002,52.318782
"177","Willem Leevendstraat 1 1, Amsterdam","1055 KB",3e+05,54,2,4.846858,52.384197
"178","Amstelveenseweg 970 C, Amsterdam","1081 JR",1500000,166,4,4.857216,52.325762
"179","Henri Zagwijnstraat 14 3, Amsterdam","1077 XR",685000,107,4,4.868754,52.341846
"180","Dam 5 V, Amsterdam","1012 JS",4495000,178,5,4.89429,52.373106
"181","Zuideinde 356, Amsterdam","1035 PP",989000,171,5,4.893261,52.419532
"182","'t Nopeind 2, Amsterdam","1027 AE",765000,100,4,4.964853,52.409986
"183","Hillenraadt 46, Amsterdam","1083 AJ",9e+05,159,9,4.886918,52.323885
"184","Archimedesweg 56, Amsterdam","1098 JR",665000,118,4,4.938738,52.356081
"185","Huidekoperstraat 24 F, Amsterdam","1017 ZM",2475000,183,4,4.897473,52.358943
"186","Bos en Lommerweg 360, Amsterdam","1061 DJ",475000,98,4,4.83852,52.379072
"187","Groetstraat 193, Amsterdam","1024 VE",3e+05,78,4,4.950977,52.393821
"188","Catharina Boudewijnshof 51, Amsterdam","1064 PE",350000,103,4,4.809689,52.378
"189","Mauritsstraat 2, Amsterdam","1091 DA",450000,45,2,4.9064,52.358857
"190","Ringvaartdijk 80, Amsterdam","1066 DJ",6e+05,145,4,4.799931,52.334488
"191","Joan Melchior Kemperstraat 46 IV, Amsterdam","1051 TS",350000,39,2,4.874462,52.38503
"192","Nachtwachtlaan 164, Amsterdam","1058 EE",595000,100,3,4.84313,52.359998
"193","Borgerstraat 202 I, Amsterdam","1053 RD",335000,42,2,4.862224,52.364187
"194","Gerrit van der Veenstraat 134, Amsterdam","1077 ES",1295000,154,4,4.867645,52.348806
"195","Pieter de Hoochstraat 25 B, Amsterdam","1071 ED",825000,103,3,4.885645,52.35602
"196","Keizersgracht 544, Amsterdam","1017 EL",5950000,394,10,4.887378,52.365078
"197","Leerdamhof 177, Amsterdam","1108 BR",325000,85,4,4.976098,52.308383
"198","Willem Heselaarsstraat 70, Amsterdam","1069 KA",450000,115,3,4.798695,52.352124
"199","Singel 463 F., Amsterdam","1012 WP",1450000,125,2,4.891701,52.367182
"200","Karel Klinkenbergstraat 1 A, Amsterdam","1061 AH",585000,99,3,4.835845,52.366451
"201","Noordermarkt 32 A, Amsterdam","1015 MZ",1200000,105,4,4.886034,52.379546
"202","Pieter Cornelisz. Hooftstraat 36 1 2 3, Amsterdam","1071 BZ",1550000,153,5,4.88242,52.360824
"203","Westerdok 452, Amsterdam","1013 BH",1250000,147,4,4.891955,52.38514
"204","Herengracht 12 C, Amsterdam","1015 BK",998000,121,2,4.891161,52.378843
"205","Jan van Riebeekstraat 17 3, Amsterdam","1057 ZW",395000,54,3,4.857567,52.370557
"206","Keizersgracht 515 R, Amsterdam","1017 DN",935000,85,3,4.8887,52.365003
"207","Nieuwe Keizersgracht 570 L, Amsterdam","1018 VG",1050000,63,3,4.90885,52.365524
"208","Geldersekade 52 A, Amsterdam","1012 BJ",729000,110,5,4.90132,52.375059
"209","Tenerifestraat 8, Amsterdam","1060 TH",699000,130,5,4.788762,52.344183
"210","Parosstraat 6, Amsterdam","1060 LP",1500000,255,7,4.790343,52.345566
"211","Diemerzeedijk 76 S, Amsterdam","1087 SM",4e+05,25,2,4.962333,52.362891
"212","Karel Doormanstraat 138, Amsterdam","1055 VJ",550000,102,4,4.858163,52.379474
"213","Lijnbaansstraat 7, Amsterdam","1016 ST",950000,133,7,4.644819,52.37806
"214","Frans van Mierisstraat 47 C, Amsterdam","1071 RK",975000,93,3,4.882903,52.354535
"215","Nicolaas Anslijnstraat 116, Amsterdam","1068 WT",295000,79,3,4.807977,52.357443
"216","Jan van Duivenvoordestraat 10 II, Amsterdam","1067 XN",350000,71,4,4.803337,52.378625
"217","Ouderkerkerdijk 42, Amsterdam","1096 CR",685000,110,4,4.901539,52.333097
"218","Baarsjesweg 313 H, Amsterdam","1058 AH",1499000,245,8,4.854662,52.358204
"219","Prinsengracht 416 A, Amsterdam","1016 JC",1275000,165,5,4.882122,52.366395
"220","Lange Leidsedwarsstraat 103 1 A, Amsterdam","1017 NJ",375000,38,1,4.886109,52.363042
"221","Herengracht 116 F+K, Amsterdam","1015 BT",1595000,199,6,4.888459,52.375994
"222","Entrepotdok 85 A, Amsterdam","1018 AD",439000,48,2,4.917931,52.367418
"223","Chasséstraat 21 III, Amsterdam","1057 HW",785000,95,5,4.861607,52.367915
"224","Fazantenweg 15 1, Amsterdam","1021 HJ",395000,68,3,4.920126,52.388122
"225","Droogbak 5 B, Amsterdam","1013 GE",595000,78,3,4.893924,52.379828
"226","Nieuwe Uilenburgerstraat 9 F, Amsterdam","1011 LM",875000,117,3,4.906839,52.371272
"227","Beulingstraat 13 D, Amsterdam","1017 BA",295000,29,2,4.887596,52.367946
"228","Kiefskamp 24, Amsterdam","1082 KA",520000,80,2,4.872336,52.33033
"229","Herculesstraat 60 B, Amsterdam","1076 SP",439000,57,3,4.862129,52.347398
"230","Tweede Oosterparkstraat 188 2, Amsterdam","1092 BT",410000,66,4,4.920472,52.357987
"231","Marnixstraat 237 E, Amsterdam","1015 WE",275000,23,1,4.877725,52.376041
"232","Nieuwe Leliestraat 11, Amsterdam","1015 SH",2450000,259,8,4.883278,52.375756
"233","Van Boetzelaerstraat 36 1, Amsterdam","1051 CW",350000,45,2,4.873726,52.382654
"234","Weesperzijde 114 huis, Amsterdam","1091 EN",1795000,158,6,4.912109,52.350755
"235","Brouwersgracht 187 G, Amsterdam","1015 GJ",835000,120,5,4.88447,52.382635
"236","Wijdesteeg 62, Amsterdam","1012 RN",985000,111,5,4.890089,52.371683
"237","Van der Hoopstraat 33 A2, Amsterdam","1051 VB",425000,56,2,4.943696,52.338795
"238","Prins Hendrikkade 156 2, Amsterdam","1011 AW",635000,58,3,4.907085,52.372907
"239","Willem Frederik Hermansstraat 169 PP, Amsterdam","1011 DG",999500,151,3,4.907627,52.376281
"240","Stadhouderskade 16 H, Amsterdam","1054 ES",1050000,151,4,4.880571,52.362038
"241","Langswater 198, Amsterdam","1069 TS",225000,60,3,4.790457,52.35459
"242","Cliostraat 35 1, Amsterdam","1077 KC",1099000,165,5,4.875455,52.347348
"243","Pieter de Hoochstraat 25 B +PP, Amsterdam","1071 ED",895000,103,3,4.885645,52.35602
"244","Uilengouw 2, Amsterdam","1027 EZ",899000,258,1,4.967897,52.410672
"245","Argonautenstraat 98, Amsterdam","1076 KV",799000,146,5,4.858845,52.343402
"246","Kortrijk 50, Amsterdam","1066 TC",719000,129,4,4.802093,52.343737
"247","Haarlemmerstraat 98 B, Amsterdam","1013 EW",750000,119,6,4.890977,52.380642
"248","Laan van Vlaanderen 141 A2*, Amsterdam","1066 MP",285000,37,2,4.807805,52.344914
"249","Laan van Vlaanderen 141 A2, Amsterdam","1066 MP",285000,37,2,4.807805,52.344914
"250","Keizersgracht 131 E, Amsterdam","1015 CJ",9e+05,111,2,4.887092,52.376105
"251","Fritz Dietrich Kahlenbergstraat 83, Amsterdam","1087 LL",475000,93,3,5.009767,52.349453
"252","Gerda Brautigamstraat 37, Amsterdam","1067 VM",545000,110,4,4.789083,52.379219
"253","Van Oldenbarneveldtstraat 96 A3, Amsterdam","1052 KH",685000,94,3,4.873591,52.374016
"254","Valeriusstraat 137 H, Amsterdam","1075 ET",2200000,198,7,4.865847,52.353256
"255","Bakkersstraat 11, Amsterdam","1017 CW",650000,81,3,4.897432,52.366729
"256","Klaprozenweg 73 A, Amsterdam","1032 KK",1100011,207,5,4.90048,52.400948
"257","Zocherstraat 23 X, Amsterdam","1054 LR",1200000,81,3,4.858004,52.3574
"258","Dorpsstraat Holysloot 62, Amsterdam","1028 BE",1495000,214,5,5.029122,52.41355
"259","Willem de Zwijgerlaan 334 c29, Amsterdam","1055 RD",295000,47,2,4.860857,52.380834
"260","Kalverstraat 218 G+2PP, Amsterdam","1012 XJ",1e+06,117,4,4.892522,52.367449
"261","Singel 115 B, Amsterdam","1012 VH",1150000,162,5,4.890591,52.375342
"262","Plantage Muidergracht 105 A, Amsterdam","1018 TP",2250000,250,8,4.915246,52.364132
"263","Ruysdaelkade 107, Amsterdam","1072 AN",1350000,173,5,4.887183,52.355065
"264","Ruysdaelkade 109, Amsterdam","1072 AN",1650000,232,9,4.887183,52.35502
"265","Olympiakade 12, Amsterdam","1076 XP",2750000,309,8,4.862413,52.349528
"266","Cornelis Zillesenlaan 94, Amsterdam","1086 ZK",1050000,216,7,4.979483,52.361333
"267","Binnenkant 2, Amsterdam","1011 BG",469000,90,3,4.903526,52.374705
"268","Zuideinde 417, Amsterdam","1035 PG",669000,107,5,4.89278,52.420465
"269","Leerdamhof 294, Amsterdam","1108 CA",3e+05,71,2,4.976454,52.306326
"270","Hertspieghelweg 26 huis, Amsterdam","1055 KM",425000,49,2,4.852468,52.380663
"271","Cas Oorthuyskade 47, Amsterdam","1087 DP",749000,150,5,4.90981909560303,52.3686532505277
"272","Eurokade 36, Amsterdam","1060 RZ",7e+05,186,8,4.786024,52.348087
"273","Prins Hendrikkade 512, Amsterdam","1011 TE",389000,30,2,4.906059,52.374085
"274","Osdorperweg 94, Amsterdam","1066 EM",9e+05,187,6,4.797164,52.343623
"275","Borneokade 70, Amsterdam","1019 AW",1750000,246,8,4.90981909560303,52.3686532505277
"276","Barbusselaan 77, Amsterdam","1102 TS",275000,85,4,4.943931,52.321174
"277","Sophialaan 45, Amsterdam","1075 BM",3500000,374,7,4.857608,52.352366
"278","Duke Ellingtonstraat 46, Amsterdam","1066 GE",4e+05,79,3,4.826718,52.343893
"279","Insulindeweg 116, Amsterdam","1094 PT",850000,110,2,4.936223,52.360906
"280","Raphaëlstraat 5, Amsterdam","1077 PN",1700000,203,5,4.869966,52.349904
"281","Amstel 102, Amsterdam","1017 AD",2325000,150,6,4.896842,52.366965
"282","Singel 436 G, Amsterdam","1017 AV",1495000,175,6,4.888094,52.368029
"283","Levantkade 170, Amsterdam","1019 BG",549000,91,5,4.943456,52.376191
"284","Vossiusstraat 6 C, Amsterdam","1071 AB",1375000,115,3,4.881814,52.361226
"285","Bloemgracht 81 6, Amsterdam","1016 KH",1250000,165,7,4.879978,52.374421
"286","Brouwersgracht 182 I, Amsterdam","1013 HC",5e+05,72,2,4.887619,52.381092
"287","Marskramerstraat 124, Amsterdam","1033 WG",575000,183,5,4.881542,52.41986
"288","Huidekoperstraat 24 F, Amsterdam","1017 ZM",2475000,183,3,4.897473,52.358943
"289","Prins Hendrikkade 132 A, Amsterdam","1011 AR",1425000,257,4,4.905372,52.373727
"290","Pieter Cornelisz. Hooftstraat 169 B, Amsterdam","1071 BW",1695000,117,3,4.876144,52.358928
"291","Ladogameerhof 3, Amsterdam","1060 PJ",515000,130,4,4.7836987,52.3496214
"292","George Gershwinlaan 177, Amsterdam","1082 MT",1095000,134,3,4.872859,52.335851
"293","Vossiusstraat 71, Amsterdam","1071 AK",2500000,202,6,4.876117,52.359763
"294","Dijkwater 189, Amsterdam","1025 CW",519900,120,5,4.937065,52.400905
"295","Amstel 75 F, Amsterdam","1018 EK",7e+05,88,5,4.902826,52.363883
"296","Tweede Jan van der Heijdenstraat 13, Amsterdam","1073 VE",2650000,387,10,4.89935,52.355179
"297","Churchill-laan 216 3, Amsterdam","1078 EW",1149000,141,6,4.891921,52.347409
"298","Hogevecht 186 B, Amsterdam","1102 HJ",280000,93,4,4.95868,52.309724
"299","Valkenburgerstraat 138 A, Amsterdam","1011 NA",6e+05,129,4,4.905853,52.369804
