date,meantemp
01/01/2013,10
02/01/2013,7.4
03/01/2013,7.166666667
04/01/2013,8.666666667
05/01/2013,6
06/01/2013,7
07/01/2013,7
08/01/2013,8.857142857
09/01/2013,14
10/01/2013,11
11/01/2013,15.71428571
12/01/2013,14
13/01/2013,15.83333333
14/01/2013,12.83333333
15/01/2013,14.71428571
16/01/2013,13.83333333
17/01/2013,16.5
18/01/2013,13.83333333
19/01/2013,12.5
20/01/2013,11.28571429
21/01/2013,11.2
22/01/2013,9.5
23/01/2013,14
24/01/2013,13.83333333
25/01/2013,12.25
26/01/2013,12.66666667
27/01/2013,12.85714286
28/01/2013,14.83333333
29/01/2013,14.125
30/01/2013,14.71428571
31/01/2013,16.2
01/02/2013,16
02/02/2013,16.28571429
03/02/2013,18
04/02/2013,17.42857143
05/02/2013,16.625
06/02/2013,16.66666667
07/02/2013,15.6
08/02/2013,14
09/02/2013,15.42857143
10/02/2013,15.25
11/02/2013,15.875
12/02/2013,15.33333333
13/02/2013,16.28571429
14/02/2013,17.33333333
15/02/2013,19.16666667
16/02/2013,14.42857143
17/02/2013,13.66666667
18/02/2013,15.6
19/02/2013,15.85714286
20/02/2013,17.71428571
21/02/2013,20
22/02/2013,20.5
23/02/2013,17.42857143
24/02/2013,16.85714286
25/02/2013,16.875
26/02/2013,17.85714286
27/02/2013,20.8
28/02/2013,19.42857143
01/03/2013,17.33333333
02/03/2013,19
03/03/2013,19.33333333
04/03/2013,17.6
05/03/2013,20.875
06/03/2013,20.85714286
07/03/2013,23.42857143
08/03/2013,24.16666667
09/03/2013,25.42857143
10/03/2013,23.14285714
11/03/2013,24
12/03/2013,23.5
13/03/2013,21.5
14/03/2013,22.33333333
15/03/2013,24.16666667
16/03/2013,20.33333333
17/03/2013,22.66666667
18/03/2013,23.42857143
19/03/2013,22.5
20/03/2013,29.16666667
21/03/2013,23.83333333
22/03/2013,25.25
23/03/2013,27.375
24/03/2013,27
25/03/2013,23.5
26/03/2013,24.14285714
27/03/2013,21
28/03/2013,22.42857143
29/03/2013,21.25
30/03/2013,23.5
31/03/2013,23.2
01/04/2013,25.375
02/04/2013,25.16666667
03/04/2013,26.2
04/04/2013,24.6
05/04/2013,25.6
06/04/2013,25.85714286
07/04/2013,29.14285714
08/04/2013,28.71428571
09/04/2013,30.16666667
10/04/2013,30
11/04/2013,30
12/04/2013,28.85714286
13/04/2013,30.2
14/04/2013,28.25
15/04/2013,28.25
16/04/2013,32.125
17/04/2013,29.2
18/04/2013,30.28571429
19/04/2013,28.28571429
20/04/2013,30.625
21/04/2013,27.66666667
22/04/2013,27.375
23/04/2013,28.625
24/04/2013,30.28571429
25/04/2013,31.14285714
26/04/2013,29.875
27/04/2013,31.14285714
28/04/2013,30.57142857
29/04/2013,32.125
30/04/2013,31.14285714
01/05/2013,31.85714286
02/05/2013,29.83333333
03/05/2013,28.57142857
04/05/2013,32.85714286
05/05/2013,32.625
06/05/2013,32.75
07/05/2013,32.875
08/05/2013,34.5
09/05/2013,34.28571429
10/05/2013,34
11/05/2013,30.75
12/05/2013,29.85714286
13/05/2013,31.71428571
14/05/2013,32.28571429
15/05/2013,33
16/05/2013,33
17/05/2013,32.83333333
18/05/2013,31.4
19/05/2013,35.33333333
20/05/2013,36.4
21/05/2013,36
22/05/2013,36.75
23/05/2013,37.5
24/05/2013,38.42857143
25/05/2013,38.71428571
26/05/2013,37.8
27/05/2013,35.85714286
28/05/2013,35.33333333
29/05/2013,34.14285714
30/05/2013,32.2
31/05/2013,33.625
01/06/2013,32
02/06/2013,32.4
03/06/2013,35.6
04/06/2013,35.85714286
05/06/2013,37.16666667
06/06/2013,31.28571429
07/06/2013,34
08/06/2013,34.2
09/06/2013,36.16666667
10/06/2013,36.625
11/06/2013,30.16666667
12/06/2013,34.14285714
13/06/2013,29.83333333
14/06/2013,30.14285714
15/06/2013,30.71428571
16/06/2013,27
17/06/2013,26.875
18/06/2013,28.4
19/06/2013,29.85714286
20/06/2013,33
21/06/2013,34.83333333
22/06/2013,35.6
23/06/2013,35.16666667
24/06/2013,33.14285714
25/06/2013,30.57142857
26/06/2013,30.66666667
27/06/2013,31.42857143
28/06/2013,31.5
29/06/2013,33.25
30/06/2013,32.83333333
01/07/2013,33.85714286
02/07/2013,33.14285714
03/07/2013,31.57142857
04/07/2013,32.375
05/07/2013,32.8
06/07/2013,31
07/07/2013,31.16666667
08/07/2013,29.83333333
09/07/2013,29
10/07/2013,29.75
11/07/2013,32.5
12/07/2013,28.875
13/07/2013,31.75
14/07/2013,30.75
15/07/2013,31.75
16/07/2013,29.875
17/07/2013,31.125
18/07/2013,31.75
19/07/2013,30.5
20/07/2013,26.83333333
21/07/2013,28.2
22/07/2013,29.5
23/07/2013,31.85714286
24/07/2013,29.71428571
25/07/2013,28.33333333
26/07/2013,30
27/07/2013,30.14285714
28/07/2013,32.28571429
29/07/2013,31
30/07/2013,30.5
31/07/2013,28.83333333
01/08/2013,30
02/08/2013,31.57142857
03/08/2013,32.5
04/08/2013,32.5
05/08/2013,29.5
06/08/2013,27.16666667
07/08/2013,28.375
08/08/2013,28.5
09/08/2013,27.16666667
10/08/2013,29.42857143
11/08/2013,30
12/08/2013,29.5
13/08/2013,30.75
14/08/2013,29.66666667
15/08/2013,27.71428571
16/08/2013,26.6
17/08/2013,27.42857143
18/08/2013,28.33333333
19/08/2013,28.16666667
20/08/2013,27.375
21/08/2013,28.33333333
22/08/2013,29.16666667
23/08/2013,31.28571429
24/08/2013,32
25/08/2013,29
26/08/2013,32
27/08/2013,32.14285714
28/08/2013,30.14285714
29/08/2013,31.5
30/08/2013,29.16666667
31/08/2013,29
01/09/2013,30
02/09/2013,31.85714286
03/09/2013,32.75
04/09/2013,31.71428571
05/09/2013,31.66666667
